###########################
#  Eredivisie
#
#   see en.wikipedia.org/wiki/Eredivisie
#
#  official ->  eredivisie.nl
#
#  18 Teams


## todo: add cities

ajax,         Ajax|Ajax Amsterdam,        city:amsterdam
az,           AZ Alkmaar,                 city:alkmaar

denhaag,      ADO Den Haag|Den Haag
groningen,    FC Groningen|Groningen
twente,       FC Twente|Twente
utrecht,      FC Utrecht|Utrecht
zwolle,       PEC Zwolle
feyenoord,    Feyenoord|Feyenoord Rotterdam
heracles,     Heracles Almelo|Heracles
breda,        NAC Breda
nec,          NEC|NEC Nijmegen|Nijmegen Eendracht Combinatie|Nijmegen
psv,          PSV|PSV Eindhoven|Philips Sport Vereniging
waalwijk,     RKC Waalwijk|Waalwijk
roda,         Roda JC|Roda JC Kerkrade|Roda Kerkrade|Roda
heerenveen,   SC Heerenveen|Heerenveen
vitesse,      Vitesse|Vitesse Arnhem
venlo,        VVV-Venlo|Venlo
willemii,     Willem II|Willem II Tilburg

